ANO;MES;CODIGO_RNT;COD_MUN;COD_DPTO;ESTADO_RNT;RAZON_SOCIAL_ESTABLECIMIENTO;DEPARTAMENTO;MUNICIPIO;CATEGORIA;SUB_CATEGORIA;NUM_EMP;HABITACIONES;CAMAS
2024;1;109392;50001;50;ACTIVO;YECENIA  CASTAÑEDA CHAVEZ;META;VILLAVICENCIO;VIVIENDAS TURÍSTICAS;APARTAMENTO TURÍSTICO;0;1;4
2024;1;109393;50001;50;ACTIVO;NESTOR  CRUZ GIL;META;VILLAVICENCIO;VIVIENDAS TURÍSTICAS;FINCA TURISTICA (ALOJAMIENTO RURAL);0;1;12
2024;1;110266;50001;50;ACTIVO;MARTHA CECILIA MEDINA;META;VILLAVICENCIO;VIVIENDAS TURÍSTICAS;APARTAMENTO TURÍSTICO;0;1;7
2024;4;110276;50001;50;ACTIVO;FINCA EL PARAISO VEREDA BARCELONA;META;VILLAVICENCIO;VIVIENDAS TURÍSTICAS;FINCA TURISTICA (ALOJAMIENTO RURAL);0;5;11
2024;3;110612;50006;50;ACTIVO;LUZ MERY ROZO GUTIERREZ;META;ACACIAS;VIVIENDAS TURÍSTICAS;OTRO TIPO DE VIVIENDA TURÍSTICA;0;3;6
2024;1;110621;50001;50;ACTIVO;MARIA ALICIA SANCHEZ SIERRA;META;VILLAVICENCIO;VIVIENDAS TURÍSTICAS;OTRO TIPO DE VIVIENDA TURÍSTICA;0;1;4
2024;2;110623;50001;50;ACTIVO;MONICA ALEXANDRA PELAEZ MAZZEO;META;VILLAVICENCIO;VIVIENDAS TURÍSTICAS;OTRO TIPO DE VIVIENDA TURÍSTICA;0;1;6
2024;3;110840;50001;50;ACTIVO;EDWIN RIOS RAMIREZ;META;VILLAVICENCIO;VIVIENDAS TURÍSTICAS;CASA TURÍSTICA;0;3;9
2024;1;111637;50001;50;ACTIVO;SANDRA PATRICIA ZABALA LEON;META;VILLAVICENCIO;VIVIENDAS TURÍSTICAS;OTRO TIPO DE VIVIENDA TURÍSTICA;0;1;16
2024;2;111796;50006;50;ACTIVO;MARTHA ISABEL PLAZAS AGUILAR;META;ACACIAS;VIVIENDAS TURÍSTICAS;APARTAMENTO TURÍSTICO;0;3;8
